Data,Temp Med,Temp Max,Temp Min,Chuva,UR
21/06/2019,22.7,28.1,17.6,0,54.58
22/06/2019,21.9,27.8,17.1,0,53.79
23/06/2019,21.9,28.3,17.7,0,52.33
24/06/2019,21.7,28.8,14.9,0,50.88
25/06/2019,22.8,29.9,16.2,0,49.04
26/06/2019,20.1,26.2,17.6,1.6,53.29
27/06/2019,19.6,22,16.7,2.6,65.21
28/06/2019,23.9,30.5,19.4,0,62.5
29/06/2019,23.8,30.1,19.4,0,55.29
30/06/2019,23.8,30.6,18.4,0,53.5
01/07/2019,24.1,31,19.2,0,53.08
02/07/2019,22.8,29.3,16.2,0,54.13
03/07/2019,22.1,28.8,18.8,7.6,56.67
04/07/2019,19.3,22.4,17.8,22.6,68.92
05/07/2019,15.8,20.2,8.9,11.4,63.58
06/07/2019,9.3,16.6,3.3,0.8,49.13
07/07/2019,12.3,19.4,4.7,0,49.96
08/07/2019,14.6,23.4,8.2,0,51.88
09/07/2019,18.7,26.9,11.3,0,53.67
10/07/2019,19.9,27.5,14.3,0,51.71
11/07/2019,20.9,28.1,15.2,0,49.83
12/07/2019,20.8,28.8,15.1,0,48.17
13/07/2019,21.7,29.8,14,0,49.42
14/07/2019,22.1,29.9,15.2,0,50.13
15/07/2019,20.9,29.4,15.7,1.4,53
16/07/2019,18.4,23.9,14.6,0,57.63
17/07/2019,15.9,22.2,10.6,0,47.29
18/07/2019,17.6,24.7,11.7,0,54.54
19/07/2019,20.2,26.6,14.7,0,55.92
20/07/2019,21.9,27.1,16.8,0,50.54
21/07/2019,21.6,27.1,15.9,0,48.96
22/07/2019,22.3,27.6,18.1,0,53.21
23/07/2019,23.2,29.5,17.8,0,52.25
24/07/2019,22.9,29.5,17.8,0,50.33
25/07/2019,22.8,29.8,16.4,0,52.5
26/07/2019,23,29.7,17.2,0,53.29
27/07/2019,21.6,29.6,14.6,0,54.46
28/07/2019,21.8,28.8,15,0,51.29
29/07/2019,21.8,29.2,16.1,0,54.29
30/07/2019,22.6,30.1,16,0,53.33
31/07/2019,22.3,30.1,14.1,0,51.5
01/08/2019,24.1,31,19.2,0,46.63
02/08/2019,22.8,29.3,16.2,0,47.92
03/08/2019,22.1,28.8,18.8,7.6,45.63
04/08/2019,19.3,22.4,17.8,22.6,49.79
05/08/2019,15.8,20.2,8.9,11.4,55.5
06/08/2019,9.3,16.6,3.3,0.8,62.54
07/08/2019,12.3,19.4,4.7,0,60.67
08/08/2019,14.6,23.4,8.2,0,53.96
09/08/2019,18.7,26.9,11.3,0,47.67
10/08/2019,19.9,27.5,14.3,0,47.13
11/08/2019,20.9,28.1,15.2,0,49.04
12/08/2019,20.8,28.8,15.1,0,46.04
13/08/2019,21.7,29.8,14,0,47.08
14/08/2019,22.1,29.9,15.2,0,47
15/08/2019,20.9,29.4,15.7,1.4,48.38
16/08/2019,18.4,23.9,14.6,0,47.71
17/08/2019,15.9,22.2,10.6,0,43.67
18/08/2019,17.6,24.7,11.7,0,45.5
19/08/2019,20.2,26.6,14.7,0,52.21
20/08/2019,21.9,27.1,16.8,0,52.96
21/08/2019,21.6,27.1,15.9,0,52.29
22/08/2019,22.3,27.6,18.1,0,48.17
23/08/2019,23.2,29.5,17.8,0,49.08
24/08/2019,22.9,29.5,17.8,0,46.75
25/08/2019,22.8,29.8,16.4,0,45.83
26/08/2019,23,29.7,17.2,0,48.13
27/08/2019,21.6,29.6,14.6,0,49.38
28/08/2019,21.8,28.8,15,0,49.42
29/08/2019,21.8,29.2,16.1,0,46.58
30/08/2019,22.6,30.1,16,0,44.75
31/08/2019,22.3,30.1,14.1,0,46.38
01/09/2019,20.4,22.6,19.1,24.6,62.46
02/09/2019,20.4,23.1,17.3,0.6,68.92
03/09/2019,23.8,28.1,18.2,0,68.38
04/09/2019,26.5,31.7,18.8,0,63.96
05/09/2019,21.8,28.1,16.6,0,55
06/09/2019,24.6,32.4,15.3,0,54.13
07/09/2019,28.1,35.2,19.9,0,52.75
08/09/2019,30.6,36.4,24.1,0,48.04
09/09/2019,30.8,36.7,23.9,0,44.04
10/09/2019,31.2,37.3,24.5,0,43.13
11/09/2019,30.9,37.2,25.6,0,42.42
12/09/2019,29.8,37.7,22,0,43.92
13/09/2019,27.6,35.9,17.3,0,48.25
14/09/2019,28.1,35.7,18.5,0,46.92
15/09/2019,31.2,37.8,22.1,0,43.33
16/09/2019,31.2,37.7,24.5,0,35.25
17/09/2019,31.1,38.3,22.5,0,35.67
18/09/2019,28.6,34.8,20.4,0,38.46
19/09/2019,30,37.6,22.1,0,45.58
20/09/2019,26,32.1,20.4,23.2,54.25
21/09/2019,25,29.3,20.7,2.6,62.17
22/09/2019,24,30.4,17.5,0,53.67
23/09/2019,21.9,29.1,16,0,47.5
24/09/2019,24.4,31.3,16,0,50.71
25/09/2019,18.6,24.3,16.4,7.4,57.92
26/09/2019,21.3,25.7,17.9,0,63
27/09/2019,23.6,29.6,16.1,0.2,58.17
28/09/2019,23.7,29.4,15.7,0,47.42
29/09/2019,25.1,31.3,16.9,0,44
30/09/2019,27.6,33.2,19.4,0,40.83
